Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
ANTH,272,001,13635,HEALING IN ETHNOGRAPHY AND LIT,3,TuTh,15:30 - 16:45,Fetzer Hall RBuilding,0109,"RIVKIN-FISH,MICHELE R"
ANTH,272,604,13640,HEALING IN ETHNOGRAPHY AND LITRecitation 3 A (In Person On Campus Learners),3,F,12:20 - 13:10,Alumni RBuilding,0203,Staff
ANTH,284,606,13407,CULTURE & CONSUMPTION Recitation 3 A (In Person On Campus Learners),3,F,14:30 - 15:20,Alumni RBuilding,0308,Staff
ANTH,290,002,13409,SPEC TOPIC ANTH II,3,MW,15:35 - 16:50 Environmental Justic,Dey Hall RBuilding,0202,"Gagnon,Terese Virginia"
ANTH,295,036,5922,RES IN ANTH II,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,298,001,3152,BIO ANTH THEORY AND PRACTICE,3,TuTh,15:30 - 16:45,Greenlaw RBuilding,0317,"Hilton,Charles Edward"
ANTH,315,001,5154,HUMAN GENETICS,3,TuTh,12:30 - 13:45,Alumni RBuilding,0207,"Hilton,Charles Edward"
ANTH,319,001,2012,GLOBAL HEALTH,3,MWF,10:10 - 11:00,Stone Center RBuilding,0103,"SORENSEN,MARK V"
ANTH,319,614,13871,GLOBAL HEALTH Recitation 3 A (In Person On Campus Learners),3,F,13:25 - 14:15,Alumni RBuilding,0203,Staff
ANTH,326,001,10252,PRACTICING MED ANTHROPOLOGY,3,TuTh,09:30 - 10:45,Global Center RBuilding,3033,"KING,MARTHA E"
ANTH,354,001,14368,EVERYDAY LIVES IN MIDDLE EAST,3,TuTh,09:30 - 10:45,New West RBuilding,0219,"Vinea,Ana Maria"
ANTH,390,001,10260,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,15:30 - 16:45 Anthropology of Fitn,Carolina Hall RBuilding,0213,"Curtin,Emily Jeanne"
