Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor,Missing Attributes
PHYS,405,1,8176,BIOLOGICAL PHYSICS,3,TuTh,15:00 - 16:15,Phillips Hall,265,"HILL,DAVID B",FALSE
PHYS,441,1,4258,THERMAL PHYSICS,3,MW,08:45 - 10:00,Phillips Hall,247,"Basar,Kemal Gokce",FALSE
PHYS,451,1,4259,ELECTRONICS I,4,TuTh,09:30 - 10:45,Phillips Hall,265,"BRANCA,ROSA TAMARA",FALSE
PHYS,451,401,4261,ELECTRONICS I Lab 0 A (In Person On Campus Learners),1,M,17:45 - 20:35,Greenlaw Hall,526A,"BRANCA,ROSA TAMARA",FALSE
PHYS,510,2,6067,PA TA SEMINAR,1,F,08:30 - 09:45,Phillips Hall,208,"DEARDORFF,DUANE L",FALSE
PHYS,521,1,5787,APPL OF QUNTM MECHS,3,MW,12:15 - 13:30,Phillips Hall,265,"ENGEL,JONATHAN H",FALSE
PHYS,631,1,8324,MATH MET THEO PHY,3,MW,12:30 - 13:45,Phillips Hall,222,"EVANS,CHARLES R",FALSE
PHYS,701,1,4539,CLASSICAL DYNAMICS,3,TuTh,11:00 - 12:15,Phillips Hall,220,"KHVECHTCHENKO,DMITRI V",FALSE
PHYS,721,1,4540,QUANTUM MECHANICS,3,TuTh,09:30 - 10:45,Phillips Hall,220,"MERSINI-HOUGHTON,LAURA",FALSE
PHYS,821,1,14594,ADVAN QUANTUM MECH,3,TuTh,14:00 - 15:15,Phillips Hall,220,"KHVECHTCHENKO,DMITRI V",FALSE
PHYS,862,1,14595,NUCL PHYS,3,TuTh,15:30 - 16:45,Phillips Hall,220,"ILIADIS,CHRISTIAN G",FALSE
PHYS,885,1,8614,INTRO GRAD SEMINAR,1,Th,13:00 - 13:50,Phillips Hall,247,"DRUT,JOAQUIN EMILIANO",FALSE
PHYS,901,1,7351,RESEARCH,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,901,2,9285,RESEARCH,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,901,3,9839,RESEARCH,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,901,4,10669,RESEARCH,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,901,5,10670,RESEARCH,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,992,1,5964,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"Ayangeakaa,Akaa Daniel",FALSE
PHYS,992,2,6024,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"Basar,Kemal Gokce",FALSE
PHYS,992,3,6025,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"CHAMPAGNE,ARTHUR E",FALSE
PHYS,992,4,6026,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"CLEMENS,JAMES C",FALSE
PHYS,992,5,6027,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"Bai,Wubin",FALSE
PHYS,992,6,6028,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"DRUT,JOAQUIN EMILIANO",FALSE
PHYS,992,7,6128,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"ENGEL,JONATHAN H",FALSE
PHYS,992,8,6029,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"ERICKCEK,ADRIENNE LYNN",FALSE
PHYS,992,9,6030,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"Gruszko,Julieta",FALSE
PHYS,992,10,6031,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"HEITSCH,FABIAN",FALSE
PHYS,992,11,6032,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"HENNING,REYCO",FALSE
PHYS,992,12,6033,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"ILIADIS,CHRISTIAN G",FALSE
PHYS,992,13,6034,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"Janssens,Robert Victor",FALSE
