Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor,Missing Attributes
ANTH,897,37,10242,SEM: SELECTED TOPICS,1,F,"09:05 - 11:35 Environment, Populat",Greenlaw,526A,"LESLIE,PAUL W",FALSE
ANTH,897,81,13387,SEM: SELECTED TOPICS,1,Tu,09:30 - 12:00 Proposal Writing and,Greenlaw,526A,"WEST,COLIN THOR",FALSE
ANTH,898,75,5781,SEM: SELECTED TOPICS,1,Th,15:30 - 18:00 Decolonizing Methodo,Hanes Art Center,117,"MCANANY,PATRICIA A",FALSE
ANTH,898,83,13389,SEM: SELECTED TOPICS,1,W,"10:10 - 12:40 Ruins, Remains, Afte",Murphey,117,"MIDDLETON,CHRISTOPHER TOWNSEND",FALSE
ANTH,901,1,5444,READING & RESEARCH,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,901,2,5502,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"STEPONAITIS,VINCAS P",FALSE
ANTH,901,36,4891,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"HINSON,GLENN D",FALSE
ANTH,901,47,4802,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"WIENER,MARGARET J",FALSE
ANTH,901,48,3268,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"SCARRY,Clara Margaret",FALSE
ANTH,901,56,9994,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"SLOCUM,KARLA",FALSE
ANTH,901,58,4835,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"LAMBERT,VALERIE L",FALSE
ANTH,901,63,4770,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"HUTCHINSON,DALE L",FALSE
ANTH,901,64,5245,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"NELSON,CHRISTOPHER T",FALSE
ANTH,901,67,2696,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"SORENSEN,MARK V",FALSE
ANTH,901,73,2697,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"RIVKIN-FISH,MICHELE R",FALSE
ANTH,901,75,4769,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"MCANANY,PATRICIA A",FALSE
ANTH,901,76,2790,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"COLLOREDO-MANSFELD,RUDOLF J",FALSE
ANTH,901,78,2966,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"THOMPSON,AMANDA LOGAN",FALSE
ANTH,901,79,4883,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"AGBE-DAVIES,ANNA SOPHIA",FALSE
ANTH,901,81,4768,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"WEST,COLIN THOR",FALSE
ANTH,901,82,4721,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"CHUA,JOCELYN LIM",FALSE
ANTH,901,83,5246,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"MIDDLETON,CHRISTOPHER TOWNSEND",FALSE
ANTH,901,84,10250,READING & RESEARCH,1,TBA,TBA,TBA,TBA,"Stuesse,Angela Christine",FALSE
